Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Acquired Brain Injury","","","","","10.1007/978-0-387-37575-5","Jean ElbaumDeborah M. Benson","2007","http://link.springer.com/book/10.1007/978-0-387-37575-5","Book"
"Psychology, Religion, and Spirituality","","","","","10.1007/978-0-387-87573-6","James M. Nelson Ph.D.","2009","http://link.springer.com/book/10.1007/978-0-387-87573-6","Book"
"Statics and Mechanics of Structures","","","","","10.1007/978-94-007-6113-1","Steen KrenkJan Høgsberg","2013","http://link.springer.com/book/10.1007/978-94-007-6113-1","Book"
"Probability","","","","","10.1007/978-1-4612-4374-8","Jim Pitman","1993","http://link.springer.com/book/10.1007/978-1-4612-4374-8","Book"
"The Gastrointestinal System","","","","","10.1007/978-94-017-8771-0","Po Sing Leung","2014","http://link.springer.com/book/10.1007/978-94-017-8771-0","Book"
"Electrochemical Impedance Spectroscopy and its Applications","","","","","10.1007/978-1-4614-8933-7","Andrzej Lasia","2014","http://link.springer.com/book/10.1007/978-1-4614-8933-7","Book"
"International Handbook of Historical Archaeology","","","","","10.1007/978-0-387-72071-5","David GaimsterTeresita Majewski","2009","http://link.springer.com/book/10.1007/978-0-387-72071-5","Book"
"Principles of Polymer Chemistry","","","","","10.1007/978-1-4614-2212-9","A. Ravve","2012","http://link.springer.com/book/10.1007/978-1-4614-2212-9","Book"
"Clinical Neuroanatomy: A Neurobehavioral Approach","","","","","10.1007/978-0-387-36601-2","John E. MendozaAnne L. Foundas","2008","http://link.springer.com/book/10.1007/978-0-387-36601-2","Book"
"Electricity and Magnetism","Undergraduate Lecture Notes in Physics","","","","10.1007/978-4-431-54526-2","Teruo Matsushita","2014","http://link.springer.com/book/10.1007/978-4-431-54526-2","Book"
"Advanced Organic Chemistry","Advanced Organic Chemistry","","","","10.1007/978-0-387-71481-3","Francis A. CareyRichard J. Sundberg","2007","http://link.springer.com/book/10.1007/978-0-387-71481-3","Book"
"Quick Start Guide to Verilog","","","","","10.1007/978-3-030-10552-5","Brock J. LaMeres","2019","http://link.springer.com/book/10.1007/978-3-030-10552-5","Book"
